id,type,name
http://www.openkg.cn/COVID-19/wiki/class/C75,rdf-schema:Class,分子
http://www.openkg.cn/COVID-19/wiki/class/C76,rdf-schema:Class,营养物质
http://www.openkg.cn/COVID-19/wiki/class/C77,rdf-schema:Class,恙
http://www.openkg.cn/COVID-19/wiki/class/C78,rdf-schema:Class,计算机系统
http://www.openkg.cn/COVID-19/wiki/class/C79,rdf-schema:Class,黄姓名人
http://www.openkg.cn/COVID-19/wiki/class/C80,rdf-schema:Class,生物理论
http://www.openkg.cn/COVID-19/wiki/class/C81,rdf-schema:Class,美国电影
http://www.openkg.cn/COVID-19/wiki/class/C82,rdf-schema:Class,二战人物
http://www.openkg.cn/COVID-19/wiki/class/C83,rdf-schema:Class,陆姓名人
http://www.openkg.cn/COVID-19/wiki/class/C84,rdf-schema:Class,计算机软件
http://www.openkg.cn/COVID-19/wiki/class/C85,rdf-schema:Class,节日食品
http://www.openkg.cn/COVID-19/wiki/class/C86,rdf-schema:Class,细菌纲
http://www.openkg.cn/COVID-19/wiki/class/C87,rdf-schema:Class,中文姓氏
http://www.openkg.cn/COVID-19/wiki/class/C88,rdf-schema:Class,病理学知识
http://www.openkg.cn/COVID-19/wiki/class/C89,rdf-schema:Class,肝胆外科
http://www.openkg.cn/COVID-19/wiki/class/C90,rdf-schema:Class,咽炎
http://www.openkg.cn/COVID-19/wiki/class/C91,rdf-schema:Class,立克次体病
http://www.openkg.cn/COVID-19/wiki/class/C92,rdf-schema:Class,唐朝君主
http://www.openkg.cn/COVID-19/wiki/class/C93,rdf-schema:Class,病毒性肝炎
http://www.openkg.cn/COVID-19/wiki/class/C94,rdf-schema:Class,病原微生物
http://www.openkg.cn/COVID-19/wiki/class/C95,rdf-schema:Class,红藻门
http://www.openkg.cn/COVID-19/wiki/class/C96,rdf-schema:Class,t开头单词
http://www.openkg.cn/COVID-19/wiki/class/C97,rdf-schema:Class,科技产品
http://www.openkg.cn/COVID-19/wiki/class/C98,rdf-schema:Class,枯萎病
